GEOGCD,GEOGNM,GEOGNMW,SI_ID,SI_TITLE,OPER_DATE,TERM_DATE,PARENTCD,ENTITYCD,OWNER,STATUS,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT
E09000001,City of London,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,314.96,290.4,0,290.4
E09000002,Barking and Dagenham,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,3779.92,3610.77,0,3610.77
E09000003,Barnet,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,8674.83,8674.83,0,8674.83
E09000004,Bexley,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,6428.65,6057.63,0,6057.63
E09000005,Brent,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,4323.25,4323.25,0,4323.25
E09000006,Bromley,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,15013.47,15013.47,0,15013.47
E09000007,Camden,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,2178.95,2178.95,0,2178.95
E09000008,Croydon,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,8649.47,8649.47,0,8649.47
E09000009,Ealing,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,5554.47,5554.47,0,5554.47
E09000010,Enfield,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,8220.02,8220.02,136.92,8083.1
E09000011,Greenwich,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,5044.18,4733.4,0,4733.4
E09000012,Hackney,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,1904.92,1904.92,0,1904.92
E09000013,Hammersmith and Fulham,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,1715.41,1639.76,0,1639.76
E09000014,Haringey,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,2959.83,2959.83,0,2959.83
E09000015,Harrow,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,5046.34,5046.34,0,5046.34
E09000016,Havering,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,11445.73,11234.97,0,11234.97
E09000017,Hillingdon,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,11570.02,11570.02,0,11570.02
E09000018,Hounslow,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,5658.54,5597.79,0,5597.79
E09000019,Islington,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,1485.65,1485.65,0,1485.65
E09000020,Kensington and Chelsea,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,1238.37,1212.38,0,1212.38
E09000021,Kingston upon Thames,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,3726.12,3726.12,0,3726.12
E09000022,Lambeth,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,2724.93,2681.01,0,2681.01
E09000023,Lewisham,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,3531.67,3514.88,0,3514.88
E09000024,Merton,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,3762.48,3762.48,0,3762.48
E09000025,Newham,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,3857.81,3620.17,0,3620.17
E09000026,Redbridge,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,5644.21,5641.92,0,5641.92
E09000027,Richmond upon Thames,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,5876.14,5740.7,0,5740.7
E09000028,Southwark,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,2991.34,2886.21,0,2886.21
E09000029,Sutton,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,4384.71,4384.71,0,4384.71
E09000030,Tower Hamlets,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,2157.5,1978.64,0,1978.64
E09000031,Waltham Forest,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,3880.78,3880.78,0,3880.78
E09000032,Wandsworth,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,3522.02,3426.34,0,3426.34
E09000033,Westminster,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000007,E09,DCLG,live,2203.01,2148.7,0,2148.7
