GEOGCD,GEOGNM,GEOGNMW,SI_ID,SI_TITLE,OPER_DATE,TERM_DATE,PARENTCD,ENTITYCD,OWNER,STATUS,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT
E11000001,Greater Manchester,,1111/1001,GSS re-coding strategy,01/01/2009,,,E11,DCLG,live,127598.21,127598.21,0,127598.21
E11000002,Merseyside,,1111/1001,GSS re-coding strategy,01/01/2009,,,E11,DCLG,live,81757.16,64673.2,0,64673.2
E11000003,South Yorkshire,,1111/1001,GSS re-coding strategy,01/01/2009,,,E11,DCLG,live,155209.32,155156.41,0,155156.41
E11000004,Tyne and Wear,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2013,,E11,DCLG,terminated,,,,
E11000005,West Midlands,,1111/1001,GSS re-coding strategy,01/01/2009,,,E11,DCLG,live,90163.96,90163.96,0,90163.96
E11000006,West Yorkshire,,1111/1001,GSS re-coding strategy,01/01/2009,,,E11,DCLG,live,202925.85,202925.85,0,202925.85
E11000007,Tyne and Wear,,595/2013,The Gateshead and Northumberland (Boundary Change) Order 2013,01/04/2013,,,E11,DCLG,live,55075.55,53996.6,0,53996.6
