GEOGCD,GEOGNM,GEOGNMW,SI_ID,SI_TITLE,OPER_DATE,TERM_DATE,PARENTCD,ENTITYCD,OWNER,STATUS,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT
E28000001,Bolton,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,13979.49,13979.49,0,13979.49
E28000002,Bury,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,9948.7,9948.7,0,9948.7
E28000003,Manchester,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,11564.51,11564.51,0,11564.51
E28000004,Oldham,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,14234.76,14234.76,0,14234.76
E28000005,Rochdale,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,15808.15,15808.15,0,15808.15
E28000006,Salford,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,9719.08,9719.08,0,9719.08
E28000007,Stockport,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,12605.58,12605.58,0,12605.58
E28000008,Tameside,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,10315.77,10315.77,0,10315.77
E28000009,Trafford,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,10603.55,10603.55,0,10603.55
E28000010,Wigan and Leigh,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,18818.53,18818.53,0,18818.53
E28000011,Knowsley,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,8649.97,8649.97,0,8649.97
E28000012,Liverpool,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,13353.39,11183.57,0,11183.57
E28000013,St. Helens,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,13635.85,13635.85,0,13635.85
E28000014,Sefton South,,1111/1001,GSS re-coding strategy,01/01/2009,30/06/2011,,E28,ONS,terminated,,,,
E28000015,Sefton North,,1111/1001,GSS re-coding strategy,01/01/2009,30/06/2011,,E28,ONS,terminated,,,,
E28000016,Wirral,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,25639.91,15704.64,0,15704.64
E28000017,Barnsley,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,32908.47,32908.47,0,32908.47
E28000018,Doncaster,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,56854.57,56801.67,0,56801.67
E28000019,Rotherham,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,28653.62,28653.62,0,28653.62
E28000020,Sheffield,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,36794.42,36794.42,0,36794.42
E28000021,Gateshead,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,14407.59,14235.61,0,14235.61
E28000022,Newcastle upon Tyne,,1111/1001,GSS re-coding strategy,01/01/2009,,,E28,ONS,live,11511.79,11345.36,0,11345.36
