GEOGCD,GEOGNM,GEOGNMW,SI_ID,SI_TITLE,OPER_DATE,TERM_DATE,PARENTCD,ENTITYCD,OWNER,STATUS,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT
E10000001,Bedfordshire,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E12000006,E10,DCLG,terminated,,,,
E10000002,Buckinghamshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E10,DCLG,live,156494.91,156494.91,0,156494.91
E10000003,Cambridgeshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000006,E10,DCLG,live,305400.72,305251.35,627.95,304623.4
E10000004,Cheshire,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E12000002,E10,DCLG,terminated,,,,
E10000005,Cornwall and Isles of Scilly,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E12000009,E10,DCLG,terminated,,,,
E10000006,Cumbria,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E10,DCLG,live,718247.24,682219.54,5559.58,676659.96
E10000007,Derbyshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000004,E10,DCLG,live,255076.22,255076.22,400.45,254675.77
E10000008,Devon,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000009,E10,DCLG,live,663610.31,656716.25,289.82,656426.43
E10000009,Dorset,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000009,E10,DCLG,live,257297.34,254173.04,0,254173.04
E10000010,Durham,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E12000001,E10,DCLG,terminated,,,,
E10000011,East Sussex,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E10,DCLG,live,172516.87,171269.16,413.52,170855.64
E10000012,Essex,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000006,E10,DCLG,live,369530.96,347198.12,757.07,346441.05
E10000013,Gloucestershire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000009,E10,DCLG,live,270452.84,265303.12,0,265303.12
E10000014,Hampshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E10,DCLG,live,373790.67,367889.93,0,367889.93
E10000015,Hertfordshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000006,E10,DCLG,live,164306.48,164306.48,0,164306.48
E10000016,Kent,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E10,DCLG,live,363955.24,354605.55,111.62,354493.93
E10000017,Lancashire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E10,DCLG,live,308300.83,290454,128.58,290325.42
E10000018,Leicestershire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000004,E10,DCLG,live,208378.73,208378.73,89.55,208289.18
E10000019,Lincolnshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000004,E10,DCLG,live,610276.89,593728.58,0,593728.58
E10000020,Norfolk,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000006,E10,DCLG,live,550835.02,538160.57,158.64,538001.93
E10000021,Northamptonshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000004,E10,DCLG,live,236698.99,236698.99,298.48,236400.51
E10000022,Northumberland,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E12000001,E10,DCLG,terminated,,,,
E10000023,North Yorkshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000003,E10,DCLG,live,805294.04,804026.15,259.97,803766.18
E10000024,Nottinghamshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000004,E10,DCLG,live,208689.58,208471.18,0,208471.18
E10000025,Oxfordshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E10,DCLG,live,260594.76,260594.76,101.58,260493.18
E10000026,Shropshire,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E12000005,E10,DCLG,terminated,,,,
E10000027,Somerset,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000009,E10,DCLG,live,351385.43,345209.91,148.97,345060.94
E10000028,Staffordshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000005,E10,DCLG,live,262331.45,262331.45,302.78,262028.67
E10000029,Suffolk,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000006,E10,DCLG,live,385357.47,380234.48,139.25,380095.23
E10000030,Surrey,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E10,DCLG,live,167007.31,167007.31,755.54,166251.77
E10000031,Warwickshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000005,E10,DCLG,live,197752.27,197752.27,244.4,197507.87
E10000032,West Sussex,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E10,DCLG,live,202346.33,199087.18,0,199087.18
E10000033,Wiltshire,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E12000009,E10,DCLG,terminated,,,,
E10000034,Worcestershire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000005,E10,DCLG,live,174051.41,174051.41,0,174051.41
