GEOGCD,GEOGNM,GEOGNMW,SI_ID,SI_TITLE,OPER_DATE,TERM_DATE,PARENTCD,ENTITYCD,OWNER,STATUS,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT
E08000001,Bolton,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E08,DCLG,live,13979.23,13979.23,0,13979.23
E08000002,Bury,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E08,DCLG,live,9946.01,9946.01,0,9946.01
E08000003,Manchester,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E08,DCLG,live,11564.86,11564.86,0,11564.86
E08000004,Oldham,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E08,DCLG,live,14234.5,14234.5,0,14234.5
E08000005,Rochdale,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E08,DCLG,live,15812.83,15812.83,0,15812.83
E08000006,Salford,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E08,DCLG,live,9719.74,9719.74,0,9719.74
E08000007,Stockport,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E08,DCLG,live,12604.02,12604.02,0,12604.02
E08000008,Tameside,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E08,DCLG,live,10315.43,10315.43,0,10315.43
E08000009,Trafford,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E08,DCLG,live,10604.47,10604.47,0,10604.47
E08000010,Wigan,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E08,DCLG,live,18817.12,18817.12,0,18817.12
E08000011,Knowsley,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E08,DCLG,live,8650.02,8650.02,0,8650.02
E08000012,Liverpool,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E08,DCLG,live,13353.4,11183.57,0,11183.57
E08000013,St. Helens,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E08,DCLG,live,13635.87,13635.87,0,13635.87
E08000014,Sefton,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E08,DCLG,live,20477.96,15499.11,0,15499.11
E08000015,Wirral,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E08,DCLG,live,25639.91,15704.63,0,15704.63
E08000016,Barnsley,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000003,E08,DCLG,live,32907.77,32907.77,0,32907.77
E08000017,Doncaster,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000003,E08,DCLG,live,56855.1,56802.19,0,56802.19
E08000018,Rotherham,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000003,E08,DCLG,live,28653.43,28653.43,0,28653.43
E08000019,Sheffield,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000003,E08,DCLG,live,36793.02,36793.02,0,36793.02
E08000020,Gateshead,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2013,E12000001,E08,DCLG,terminated,14407.65,14235.67,0,14235.67
E08000021,Newcastle upon Tyne,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000001,E08,DCLG,live,11511.78,11345.63,0,11345.63
E08000022,North Tyneside,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000001,E08,DCLG,live,8481.93,8231.71,0,8231.71
E08000023,South Tyneside,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000001,E08,DCLG,live,6710.85,6439.43,0,6439.43
E08000024,Sunderland,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000001,E08,DCLG,live,13963.02,13743.9,0,13743.9
E08000025,Birmingham,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000005,E08,DCLG,live,26779.13,26779.13,0,26779.13
E08000026,Coventry,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000005,E08,DCLG,live,9863.9,9863.9,0,9863.9
E08000027,Dudley,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000005,E08,DCLG,live,9795.84,9795.84,0,9795.84
E08000028,Sandwell,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000005,E08,DCLG,live,8555.89,8555.89,0,8555.89
E08000029,Solihull,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000005,E08,DCLG,live,17828.21,17828.21,0,17828.21
E08000030,Walsall,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000005,E08,DCLG,live,10397.34,10397.34,0,10397.34
E08000031,Wolverhampton,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000005,E08,DCLG,live,6943.65,6943.65,0,6943.65
E08000032,Bradford,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000003,E08,DCLG,live,36641.98,36641.98,0,36641.98
E08000033,Calderdale,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000003,E08,DCLG,live,36396.08,36396.08,0,36396.08
E08000034,Kirklees,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000003,E08,DCLG,live,40855.16,40855.16,0,40855.16
E08000035,Leeds,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000003,E08,DCLG,live,55170.65,55170.65,0,55170.65
E08000036,Wakefield,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000003,E08,DCLG,live,33861.98,33861.98,0,33861.98
E08000037,Gateshead,,595/2013,The Gateshead and Northumberland (Boundary Change) Order 2013,01/04/2013,,E12000001,E08,DCLG,live,14407.97,14235.93,0,14235.93
